,,,,,,,,,,Areal Rf,Areal RF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Colombo,Kalutara,Galle,Matara,Hambantota,Ampara,Batticaloa,Trinco,Mulativu,Jaffna,Kilinocchchi,Mannar,Puttlam,Gampaha,Kegalle,R'Pura,Monaragala,Badulla,Polonnaruwa,Vavuniya,Anuradhapura,Kurunegala,Matale,Kandy,Nuwara Eliya
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995-01,175,147,117,168,116,219,273,323,271,175,207,151,50,105,198,195,188,202,214,193,151,98,210,215,160
,1995-02,62,57,86,83,89,145,106,40,32,25,26,49,46,25,79,84,141,150,102,38,45,37,154,132,85
,1995-03,55,66,83,60,18,14,5,8,7,5,2,15,55,51,107,131,70,94,23,24,37,42,94,79,90
,1995-04,533,565,486,323,200,87,60,83,89,75,95,188,279,471,567,514,205,273,112,122,167,333,247,346,359
,1995-05,505,633,531,419,130,92,81,54,93,199,124,95,213,423,600,470,125,171,76,69,90,282,169,327,383
,1995-06,526,640,640,325,55,17,26,1,0,9,2,0,34,302,472,394,30,22,1,0,1,86,22,178,375
,1995-07,138,197,212,94,19,21,38,51,13,16,25,3,9,98,158,115,14,28,19,28,16,20,7,74,164
,1995-08,193,248,243,181,32,36,59,86,51,10,30,2,7,114,307,207,22,68,39,38,22,30,39,117,277
,1995-09,173,265,213,145,36,53,80,117,76,12,21,22,4,98,253,189,39,68,125,55,48,24,40,141,227
,1995-10,383,427,399,294,133,126,167,165,183,171,161,151,188,279,472,371,169,236,228,180,169,209,300,414,430
,1995-11,356,388,289,200,125,141,156,144,252,204,208,228,403,419,355,235,194,207,148,164,226,315,266,257,224
,1995-12,26,78,85,76,112,253,233,64,10,25,16,12,16,18,18,76,120,235,132,10,27,25,153,140,152
,1996-01,88,124,177,76,106,386,289,40,22,13,11,13,37,73,69,93,212,264,157,18,35,33,161,171,177
,1996-02,130,143,124,167,101,180,227,55,82,33,57,88,109,79,117,142,145,195,114,45,96,84,152,155,134
,1996-03,17,72,118,61,18,1,0,3,14,6,11,17,6,18,67,122,35,50,5,32,28,26,24,31,46
,1996-04,291,319,239,297,149,131,67,88,113,54,73,165,162,252,452,395,242,291,136,131,191,290,245,305,308
,1996-05,92,100,118,65,17,7,17,28,21,11,22,18,30,79,77,58,20,50,11,29,21,20,2,18,46
,1996-06,158,249,281,195,52,40,76,104,116,76,103,83,85,104,320,260,33,61,75,126,97,83,83,135,265
,1996-07,223,287,257,173,24,13,7,23,6,3,8,14,10,126,234,227,15,36,6,19,11,45,40,154,331
,1996-08,264,246,184,128,48,60,170,177,92,87,94,25,57,211,199,170,98,112,158,84,110,77,66,134,281
,1996-09,400,572,636,413,125,126,155,72,55,46,44,41,117,366,579,426,81,89,38,46,72,205,79,250,347
,1996-10,288,327,278,230,80,103,191,139,165,126,151,178,195,213,363,311,145,167,143,181,192,258,254,319,292
,1996-11,250,286,235,139,202,286,303,356,322,427,401,253,149,230,253,248,277,305,268,256,243,192,295,261,256
