YEAR,Colombo Auction price RSS 3,Colombo Auction price RSS 1,,
2014 JAN,275.05,321.34,,
2014FEB,278.12,294.69,,
2014MAR,286.38,301.5,,
2014APR,281.14,281.28,,
2014MAY,279.5,289.54,,
2014JUN,290.25,313.47,,
2014JUL,268.33,289.86,,
2014AUG,257,263.52,,
2014SEP,240.5,261.08,,
2014OCT,265.75,286.8,,
2014NOV,252,263.21,,
2014DEC,248,262.83,,
2015JAN,302.5,304.83,,
2015FEB,266,275.75,,
2015MAR,234,244.3,,
2015APR,211.5,219.3,,
2015MAY,unq,233.75,,
2015JUN,224,235,,
2015JUL,235,243,,
2015AUG,228,243.33,,
2015SEP,223,238.83,,
2015OCT,231.5,241,,
2015NOV,unq,unq,,
2015DEC,196.33,226.17,,
2016JAN,unq,228,,
2016FEB,186,194,,
2016MAR,190,208.68,,
2016APR,230.5,232.63,,
2016MAY,240,245.33,,
2016JUN,255,268.92,,
2016JUL,243.33,254.38,,
2016AUG,215.5,229.33,,
2016SEP,218.5,225.23,,
2016OCT,232.25,236.4,,
2016NOV,250.88,256.57,,
2016DEC,283,285.21,,
2017JAN,324,328.71,,
2017FEB,329,338.67,,
2017MAR,308.75,316.21,,
2017APR,312,322.06,,
2017MAY,343,340.43,,
2017JUN,322.5,343.8,,
2017JUL,328.5,352.5,,
2017AUG,329,346.38,,
2017SEP,unq,343.5,,
2017OCT,328,345.67,,
2017NOV,320,336.5,,
2017DEC,324.7,332.8,,
2018JAN,295,311.17,,
2018FEB,252.5,278.83,,
2018MAR,258.75,280.33,,
2018APR,245.5,265,,
2019MAY,unq,285.83,,
2018JUN,285,317.5,,
2018JUL,unq,300,,
2018AUG,unq,281.44,,
2018SEP,unq,259.1,,
2018OCT,248,263.21,,
2018NOV,unq,262.75,,
2018DEC,257,274.5,,
2019JAN,242.5,252.3,,
2019FEB,237.13,247.67,,
2019MAR,unq,267.31,,
2019APR,250,265.15,,
2019MAY,unq,275.46,,
2019JUN,278,316.51,,
2019JUL,unq,299.6,,
2019AUG,unq,290.73,,
2019SEP,270,302.5,,
2019OCT,unq,301.29,,
2019NOV,321.4,317.93,,
2019DEC,308,325.34,,
2020JAN,315,326.46,,
2020FEB,263,301.25,,
2020MAR,273,300,,
2020APR,unq,unq,,
2020MAY,unq,unq,,
2020JUN,unq,unq,,
2020JUL,unq,unq,,
2020AUG,278,unq,,
2020SEP,unq,323,,
2020OCT,337.5,362.67,,
2020NOV,375,406.88,,
2020DEC,390.5,430,,
2021JAN,434.00,458.50,,
2021FEB,416.00,444.33,,
2021MAR,409.00,426.50,,
2021APR,410.00,428.00,,
2021MAY,432.50,450.25,,
2021JUN,450.00,467.00,,
2021JUL,Unq,454.50,,
201AUG,435.00,456.50,,
2021SEP,442.67,462.50,,
2021OCT,463.00,488.00,,
2021NOV,Unq,515.00,,
2021DEC,463.00,475.00,,
2022JAN,440.00,461.00,,
2022FEB,Unq,458.50,,
2022MAR,503.00,562.70,,
2022APR,629.00,648.75,,
2022MAY,Unq,718.33,,
2022JUN,743.00,800.80,,
2022JUL,Unq,unq,,
2022AUG,660.00,685.00,,
2022SEP,Unq,670.00,,
2022OCT,489.50,500.00,,
2022NOV,515.00,526.70,,
2022DEC,473.00,517.67,,
2023JAN,476.50,472.67,,
2023FEB,Unq,505.00,,
2023MAR,Unq,480.00,,
2023APR,444.00,464.00,,
2023MAY,Unq,485.00,,
2023JUN,Unq,536.25,,
2023JUL,550.00,600.00,,
2023AUG,500.00,518.33,,
2023SEP,545.00,566.00,,
2023OCT,Unq,610.00,,
2023NOV,Unq,682.33,,
2023DEC,Unq,793.33,,
2024JAN, 625.00 , 658.33 ,,
2024FEB, 633.33 , 650.50 ,,
2024MAR, Unq , 686.50 ,,
2024APR, 625.00 , 645.00 ,,
2024MAY, unq , unq ,,
2024JUN, unq , 675.00 ,,
2024JUL, 650.00 , 700.00 ,,
2024AUG, Unq , Unq ,,
2024SEP, 720.00 , 752.00 ,,
2024OCT, Unq , 810.50 ,,
2024NOV, Unq , 802.50 ,,
2024DEC, Unq , 760.00 ,,
2025JAN, 675.00 , 750.00 ,,
2025FEB, Unq , Unq ,,
2025MAR, Unq , Unq ,,
2025APR, 635.00 , 680.00 ,,
2025MAY, Unq , 700.00 ,,
2025JUN, Unq , Unq ,,
2025JUL, Unq , 730.00 ,,
2025AUG, 700.00 , 725.00 ,,
2025SEP, Unq , 700.00 ,,
2025OCT, 845.00 ," 1,000.00 ",,
2025NOV, Unq , Unq ,,
2025DEC,Unq,700,,
*unq- unquoted - ඉදිරිපත් වී නොමැත,,,,
